title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Taken 3,2015,2015-01-09,89256424,237222717,326479141,24000001.5,302479139.5,12.60329669,13,120,Action & Adventure,109,Olivier Megaton,Liam Neeson Maggie Grace Forest Whitaker Famke Janssen Dougray Scott,0,B,well_known,55.95113438,0,1,0,1,0,liam neeson maggie grace forest whitaker famke janssen dougray scott
The SpongeBob Movie: Sponge Out of Water,2015,2015-02-06,162994032,162192000,325186032,74000000,251186032,3.394405838,81,104,"Animation, Comedy, Kids & Family",92,Paul Tibbitt,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,0,B,well_known,55.82897033,1,0,0,0,1,tom kenny bill fagerbakke rodger bumpass clancy brown carolyn lawrence
Maze Runner: The Scorch Trials,2015,2015-09-18,81697192,230598864,312296056,61000000,251296056,4.119607475,46,149,Action & Adventure,131,Wes Ball,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,0,B,well_known,55.21815009,0,1,0,0,1,dylan o'brien kaya scodelario thomas brodie-sangster giancarlo esposito aidan gillen
Pitch Perfect 2,2015,2015-05-15,184296230,102847849,287144079,29000000,258144079,8.901519966,65,216,"Comedy, Musical & Performing Arts",115,Elizabeth Banks,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,0,B,well_known,53.9965096,0,1,0,1,0,anna kendrick rebel wilson hailee steinfeld brittany snow skylar astin
Mojin: The Lost Legend,2015,2015-12-18,1243810,258124638,259368448,37000000,222368448,6.009958054,56,9,Action & Adventure,127,Wuershan,Shin Qi Chen Kun Huang Bo Angelababy Xia Yu,0,B,well_known,53.5078534,0,1,0,0,1,shin qi chen kun huang bo angelababy xia yu
Lost in Hong Kong,2015,2015-09-25,1302281,254981631,256283912,15600000,240683912,15.4284559,60,5,"Art House & International, Comedy",114,Zheng Xu,Xu Zheng Bao Bei'er Zhao Wei Paul Che Sam Lee,0,B,well_known,53.26352531,0,1,0,0,1,xu zheng bao bei'er zhao wei paul che sam lee
The Peanuts Movie,2015,2015-11-06,130178411,116054702,246233113,99000000,147233113,1.487203162,87,197,"Animation, Kids & Family",89,Steve Martino,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,0,B,well_known,52.40837696,1,0,0,0,1,noah schnapp bill melendez venus schultheis hadley belle miller madisyn shipman
Pixels,2015,2015-07-24,78747585,166127224,244874809,88000000,156874809,1.782668284,17,201,"Animation, Comedy, Drama",106,Chris Columbus,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,0,B,well_known,52.16404887,1,0,0,0,1,adam sandler michelle monaghan peter dinklage josh gad kevin james
Daddy's Home,2015,2015-12-25,150357137,92429000,242786137,50000000,192786137,3.85572274,31,121,Comedy,96,"John Morris, Sean Anders",Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Scarlett Estevez,0,B,well_known,51.91972077,0,1,0,0,1,will ferrell mark wahlberg linda cardellini thomas haden church scarlett estevez
Spy,2015,2015-06-05,110825712,124840507,235666219,65000000,170666219,2.625634138,95,257,Comedy,115,Paul Feig,Melissa McCarthy Jason Statham Rose Byrne Jude Law Bobby Cannavale,0,B,well_known,51.43106457,0,1,0,0,1,melissa mccarthy jason statham rose byrne jude law bobby cannavale
